# titre | catégorie | ingrédients (grammes pour 2 portions, eau en ml) | préparation,cuisson,repos | équipement | étapes spécifiques séparées par ~
Potage d'aubergine rôtie et courgette|soupe|aubergine:400,courgette:300,huile:12,eau:650|20,50,0|oven,hob,blender|Couper l'aubergine en deux, badigeonner d'huile et cuire à couvert 35 à 40 min à 190 °C.~Cuire les courgettes en cubes dans l'eau 12 min.~Prélever la chair de l'aubergine et la mixer avec les courgettes et leur bouillon. Réchauffer 2 min.
Soupe de choux de Bruxelles et céleri-rave|soupe|choux_bruxelles:300,celeri_rave:350,persil:10,eau:850|20,30,0|hob,blender|Couper le céleri-rave en petits cubes et les choux de Bruxelles en quatre.~Cuire dans l'eau 25 à 30 min jusqu'à tendreté.~Mixer grossièrement puis ajouter le persil ciselé.
Velouté de laitue aux pignons et fenouil|soupe|laitue:300,fenouil:300,pignon:25,eau:700|20,25,0|hob,blender|Émincer le fenouil et le cuire dans l'eau 15 min.~Ajouter la laitue lavée en lanières et cuire encore 5 min.~Mixer avec les pignons pendant 1 min, réchauffer doucement et servir.
Chou-fleur rôti entier en tranches épaisses|accompagnement|chou_fleur:600,huile:20,persil:12|15,40,0|oven|Tailler le chou-fleur en tranches épaisses avec une portion de trognon pour les maintenir. Garder aussi les bouquets détachés.~Badigeonner avec l'huile et disposer en une seule couche sur une plaque.~Cuire 35 à 40 min à 190 °C en retournant après 20 min. Ajouter le persil au service.
Rubans de carotte et concombre à la purée d'avocat|salade|carotte:250,concombre:300,avocat:140,ciboulette:10|20,0,0||Tailler carotte et concombre en rubans à l'économe.~Écraser l'avocat et le mélanger à la ciboulette ; détendre avec un peu de jus rendu par le concombre.~Enrober les rubans juste avant de servir, sans citron ni huile supplémentaire.
Fenouil cru, radis et sésame|salade|fenouil:300,radis:200,sesame:20,huile:14|15,0,0||Émincer le fenouil très finement, perpendiculairement à ses fibres.~Couper les radis en rondelles et mélanger avec le fenouil et l'huile.~Parsemer de sésame et servir immédiatement pour conserver le croquant.
Endives farcies à l'avocat et aux champignons cuits|accompagnement|endive:300,avocat:160,champignon:200,ciboulette:8|20,10,20|hob|Cuire les champignons finement hachés 10 min dans leur jus jusqu'à évaporation.~Les laisser tiédir 20 min puis mélanger à l'avocat écrasé et à la ciboulette.~Répartir dans des feuilles d'endive lavées. Consommer après assemblage.
Carottes rôties sur une crème de noix|accompagnement|carotte:450,noix:40,huile:12,eau:100|15,35,0|oven,blender|Couper les carottes dans la longueur, les enrober d'huile et cuire 30 à 35 min à 190 °C.~Mixer les noix avec l'eau jusqu'à obtenir une crème non filtrée.~Servir les carottes chaudes sur cette crème, sans ajouter de jus de citron.
Brocoli écrasé à la fourchette et huile de basilic|accompagnement|brocoli:550,basilic:15,huile:18|15,15,0|hob|Peler la tige de brocoli et la couper avec les bouquets.~Cuire à la vapeur 12 à 15 min jusqu'à ce qu'il s'écrase facilement.~Écraser à la fourchette avec l'huile, puis incorporer le basilic finement ciselé.
Chou rouge cru aux poires et raisins frais|salade|chou_rouge:250,poire:200,raisin:150|20,0,0||Émincer le chou rouge le plus finement possible.~Retirer les pépins de la poire et couper en fins bâtonnets ; couper les raisins en deux et retirer les pépins éventuels.~Mélanger délicatement et laisser les fruits humecter le chou avant de servir, sans huile ajoutée.
Millefeuille de courgette et fenouil au sésame|accompagnement|courgette:350,fenouil:250,sesame:30,huile:14,eau:80|25,35,0|hob,oven,blender|Tailler courgette et fenouil en lamelles très fines. Précuire le fenouil à la vapeur 10 min.~Mixer le sésame avec l'eau et l'huile. Alterner les légumes et la sauce dans un petit plat.~Couvrir et cuire 25 min à 180 °C. Servir à la cuillère pour conserver les couches tendres.
Courgettes crues en rubans, noisettes et basilic|salade|courgette:400,noisette:30,basilic:12,huile:14|15,0,0||Choisir des courgettes fraîches fermes. Goûter un petit morceau cru et ne pas utiliser une courgette anormalement amère.~Tailler en rubans fins puis mélanger avec l'huile et le basilic.~Ajouter les noisettes hachées juste avant de servir.
Navets rôtis et carottes en éventail|accompagnement|navet:300,carotte:300,huile:18,persil:10|20,40,0|oven|Couper les navets en quartiers et les carottes en lamelles épaisses.~Mélanger avec l'huile et disposer dans un plat couvert. Cuire 30 min à 190 °C.~Découvrir pour 10 min supplémentaires, puis parsemer de persil.
Haricots verts aux pignons et lamelles de champignon|accompagnement|haricot_vert:400,champignon:250,pignon:25,huile:14|20,20,0|hob|Équeuter les haricots verts et les cuire à la vapeur 12 à 15 min.~Cuire les champignons émincés dans leur jus 8 à 10 min.~Réunir avec l'huile et les pignons, puis réchauffer 2 min.
Betteraves râpées et céleri-rave à l'avocat|salade|betterave:250,celeri_rave:250,avocat:150,persil:10|20,0,0||Peler betterave et céleri-rave et les râper séparément.~Écraser l'avocat avec le persil finement haché.~Mélanger d'abord le céleri-rave à l'avocat, puis incorporer la betterave en quelques tours pour garder deux couleurs.
Fenouil rôti aux amandes et ciboulette|accompagnement|fenouil:550,amande:30,huile:18,ciboulette:10|15,40,0|oven|Couper le fenouil en quartiers fins en conservant un peu de base pour les maintenir.~Badigeonner d'huile, couvrir le plat et cuire 30 min à 190 °C.~Ajouter les amandes concassées, découvrir et cuire encore 8 à 10 min. Terminer avec la ciboulette.
Côtes de blette à la purée de courge|accompagnement|blette:400,courge:350,huile:14,eau:80|20,25,0|hob,blender|Retirer les fils épais des côtes de blette et les couper en tronçons.~Cuire les blettes et la courge séparément à la vapeur 20 à 25 min.~Mixer la courge avec l'eau et l'huile, puis la répartir sur les blettes égouttées.
Poivrons doux farcis au chou-fleur et aux noix|accompagnement|poivron:400,chou_fleur:350,noix:35,huile:14|25,40,0|hob,oven|Couper les poivrons en deux et retirer leurs graines.~Cuire le chou-fleur à la vapeur 12 min, le hacher et le mélanger avec les noix et l'huile.~Garnir les demi-poivrons, couvrir et cuire 25 à 30 min à 180 °C.
Courge rôtie et mâche aux graines de sésame|salade|courge:400,mache:100,sesame:25,huile:16|20,35,20|oven|Couper la courge en petits dés, l'enrober de la moitié de l'huile et cuire 30 à 35 min à 190 °C.~Laisser tiédir 20 min et laver puis essorer la mâche.~Assembler avec le sésame et l'huile restante juste avant de servir.
Artichauts à la vapeur et sauce de basilic aux amandes|accompagnement|artichaut:400,amande:30,basilic:15,huile:12,eau:80|25,25,0|hob,blender|Utiliser des fonds d'artichaut frais soigneusement parés et les cuire immédiatement à la vapeur pendant 20 à 25 min.~Mixer les amandes, le basilic, l'eau et l'huile pour obtenir une sauce épaisse.~Servir les fonds tendres coupés en quartiers avec cette sauce, sans citron ajouté.
Choux de Bruxelles effeuillés aux noisettes|accompagnement|choux_bruxelles:500,noisette:35,huile:16,eau:50|20,20,0|hob|Retirer les feuilles abîmées, couper la base et émincer les choux pour détacher les feuilles.~Cuire avec l'eau à couvert 12 à 15 min.~Découvrir, ajouter l'huile et les noisettes hachées et cuire encore 3 min à feu doux.
Panais écrasé, brocoli et huile de persil|accompagnement|panais:350,brocoli:300,persil:15,huile:16,eau:80|20,25,0|hob|Cuire les panais en cubes à la vapeur 20 à 25 min et le brocoli 10 à 12 min.~Écraser le panais avec l'eau chaude et la moitié de l'huile.~Mélanger le persil ciselé à l'huile restante et servir sur le brocoli, posé à côté de la purée.
Tomates et concombre au jus de framboise|salade|tomate:350,concombre:250,framboise:100,ciboulette:8|15,0,0||Couper les tomates en quartiers et le concombre en demi-rondelles.~Écraser la moitié des framboises et mélanger avec le jus des tomates.~Assembler les légumes, ce coulis et les framboises restantes, puis ajouter la ciboulette. Ne pas ajouter d'huile.
Laitue, avocat et quartiers de radis|salade|laitue:200,avocat:160,radis:200,ciboulette:8|15,0,0||Laver et essorer la laitue puis couper les radis en quatre.~Couper la moitié de l'avocat en dés et écraser le reste avec la ciboulette.~Mélanger l'avocat écrasé à la laitue, puis ajouter les dés et les radis. Servir sans citron.
Épinards fondants et champignons aux pignons|accompagnement|epinard:450,champignon:250,pignon:25,huile:14|15,15,0|hob|Faire cuire les champignons émincés 8 à 10 min dans leur jus.~Ajouter les épinards lavés et couvrir 4 min pour les faire tomber.~Incorporer l'huile et les pignons, puis servir avec le jus réduit.
Carpaccio de betterave et carotte, huile de basilic|salade|betterave:250,carotte:250,basilic:12,huile:16|20,0,0||Peler les légumes et les tailler en tranches très fines à l'économe ou à la mandoline avec protection.~Ciseler le basilic dans l'huile.~Disposer les tranches en couches peu épaisses et répartir l'huile parfumée juste avant de servir.
Rutabaga rôti sur purée de chou-fleur|accompagnement|rutabaga:400,chou_fleur:350,huile:18,eau:80|20,45,0|oven,hob,blender|Tailler le rutabaga en cubes de 1,5 cm, mélanger avec la moitié de l'huile et rôtir 40 min à 190 °C dans un plat couvert.~Cuire le chou-fleur à la vapeur 15 min.~Mixer le chou-fleur avec l'eau et l'huile restante, puis servir avec le rutabaga tendre.
Asperges et radis rôtis à la ciboulette|accompagnement|asperge:350,radis:250,ciboulette:10,huile:16|20,25,0|oven|Parer les asperges et couper les radis en deux ; fendre les asperges très épaisses.~Enrober d'huile et cuire en une seule couche 20 à 25 min à 190 °C.~Vérifier la tendreté des tiges et ajouter la ciboulette au service.
Fenouil et orange en salade croquante|salade|fenouil:350,orange:250,laitue:100|20,0,0||Peler l'orange à vif au-dessus d'un bol pour recueillir son jus.~Émincer le fenouil très finement et laver puis essorer la laitue.~Mélanger les légumes avec les quartiers d'orange et le jus recueilli, sans huile ni sel ajouté.
Chou blanc massé à l'avocat et carotte|salade|chou:300,carotte:200,avocat:150|20,0,10||Émincer le chou très finement et râper la carotte.~Écraser l'avocat puis masser le chou avec cette purée à mains propres pendant 2 min.~Incorporer la carotte et laisser reposer 10 min au frais avant de servir.
Courgettes farcies aux champignons et amandes|accompagnement|courgette:450,champignon:250,amande:35,huile:14|25,40,0|hob,oven|Couper les courgettes en deux et prélever un peu de chair.~Cuire cette chair hachée avec les champignons 10 min pour réduire l'eau, puis ajouter les amandes et l'huile.~Garnir les courgettes et cuire 25 à 30 min dans un plat couvert à 180 °C.
Poivrons rôtis au cresson et pignons|accompagnement|poivron:450,cresson:100,pignon:30,huile:16|20,35,0|oven,hob|Couper les poivrons en larges lanières, mélanger avec l'huile et cuire à couvert 30 min à 190 °C.~Laver le cresson cultivé et le cuire 3 min à la vapeur.~Répartir le cresson sur les poivrons et ajouter les pignons juste avant de servir.
Petits pois écrasés aux carottes en bâtonnets|accompagnement|petits_pois:350,carotte:300,basilic:10,huile:14,eau:80|20,25,0|hob,blender|Couper les carottes en bâtonnets et les cuire à la vapeur 15 à 20 min.~Cuire les petits pois à la vapeur 8 min et les mixer grossièrement avec l'eau, le basilic et l'huile.~Servir l'écrasé avec les bâtonnets encore légèrement fermes.
# Compositions vertes supplémentaires
Poulet vapeur aux asperges et courgettes|plat|poulet:320,asperge:300,courgette:300,ciboulette:10|20,30,0|hob|Parer les asperges et couper les courgettes en demi-rondelles.~Poser le poulet sur une assiette adaptée dans un panier vapeur et cuire 20 à 30 min jusqu'à 74 °C à cœur ; recueillir son jus sur l'assiette.~Cuire les légumes dans un panier séparé pendant 8 à 12 min. Servir avec le jus du poulet et la ciboulette, sans huile ajoutée.
Dinde en papillote aux aubergines précuites|plat|dinde:320,aubergine:400,poivron:200|20,45,0|hob,oven|Couper l'aubergine en tranches de 1 cm et la cuire à la vapeur 15 min.~Répartir aubergine et fines lanières de poivron dans deux papillotes, poser les escalopes de dinde dessus et fermer.~Cuire 25 à 30 min à 180 °C jusqu'à 74 °C au centre de la dinde. Servir avec le jus des légumes.
Cabillaud en vapeur de brocoli et laitue|plat|cabillaud:320,brocoli:350,laitue:200|20,25,0|hob|Cuire les petits bouquets de brocoli à la vapeur 8 min.~Tapisser une assiette adaptée de laitue, poser le cabillaud dessus et placer dans le panier vapeur.~Cuire 10 à 15 min jusqu'à 63 °C à cœur du poisson. Servir les légumes et le poisson avec le jus recueilli.
Saumon en feuilles de chou et radis cuits|plat|saumon:300,chou:300,radis:250|25,30,0|hob,oven|Blanchir quatre feuilles de chou 4 min dans une eau ensuite jetée. Cuire les radis coupés en deux à la vapeur 10 min.~Envelopper le saumon dans le chou et placer les paquets avec les radis dans un plat couvert.~Cuire 20 à 25 min à 180 °C jusqu'à 63 °C à cœur. Servir sans assaisonnement supplémentaire.
Truite en papillote aux asperges et champignons|plat|truite:320,asperge:300,champignon:250|20,25,0|oven|Parer et fendre les tiges d'asperges épaisses ; émincer très finement les champignons.~Répartir les légumes dans deux papillotes et poser les filets de truite dessus.~Fermer et cuire 20 à 25 min à 180 °C, jusqu'à 63 °C à cœur. Le jus des champignons humidifie la papillote.
Sardines sur lit de courgette et fenouil vapeur|plat|sardine:320,courgette:300,fenouil:250|20,25,0|hob|Émincer finement fenouil et courgette, puis les précuire à la vapeur 10 min.~Les répartir sur une assiette adaptée dans le panier, déposer les sardines désarêtées dessus.~Cuire encore 8 à 12 min jusqu'à 63 °C à cœur et servir avec le jus recueilli.
# Sauces et préparations d'appoint
Concassé de poivron et radis à la ciboulette|sauce|poivron:220,radis:120,ciboulette:10,huile:16|15,0,0||Retirer les graines du poivron et le tailler en dés de quelques millimètres.~Hacher les radis et ciseler la ciboulette.~Mélanger avec l'huile et utiliser comme garniture fraîche ; contrôler les associations avec le plat support.
Pesto maison de persil, noix et huile d'olive|sauce|persil:35,noix:45,huile:30|15,0,0|blender|Laver et essorer soigneusement le persil, puis le hacher grossièrement.~Mixer par impulsions avec les noix et l'huile, sans fromage, ail ni citron.~Transférer dans un petit récipient fermé, réfrigérer immédiatement et utiliser sous 24 h.
Coulis chaud de poivron sans tomate|sauce|poivron:400,basilic:12,eau:100|15,25,0|hob,blender|Retirer graines et membranes des poivrons, puis les couper en petits morceaux.~Les cuire à couvert avec l'eau 20 à 25 min jusqu'à tendreté.~Mixer avec le basilic et servir avec une recette dont les associations ont été contrôlées.
Sauce de champignons liée au chou-fleur|sauce|champignon:300,chou_fleur:200,huile:12,eau:120|15,25,0|hob,blender|Cuire les champignons émincés à couvert 10 min dans leur propre jus.~Cuire le chou-fleur à la vapeur 15 min, puis le mixer avec l'eau et l'huile.~Ajouter les champignons et leur jus à la crème, mixer brièvement pour garder quelques morceaux et réchauffer 2 min.
Purée de sésame fraîche aux courgettes|sauce|sesame:45,courgette:250,eau:60|15,15,0|hob,blender|Cuire la courgette en cubes à la vapeur 10 à 12 min.~Mixer le sésame avec l'eau puis ajouter la courgette chaude et mixer longuement, sans filtrer.~Refroidir rapidement si la sauce n'est pas servie immédiatement. Ne pas ajouter de citron.
Crème de carotte aux amandes et basilic|sauce|carotte:300,amande:40,basilic:10,eau:140|15,25,0|hob,blender|Cuire les carottes en fines rondelles avec l'eau à couvert 20 à 25 min.~Ajouter les amandes et mixer avec tout le liquide, puis incorporer le basilic.~Servir en sauce épaisse ; utiliser le contrôle du repas pour vérifier les protéines grasses des amandes.
Sauce crue de tomate et concombre à la ciboulette|sauce|tomate:300,concombre:150,ciboulette:10|15,0,0||Couper les tomates en très petits dés et conserver leur jus.~Tailler le concombre de la même manière et ciseler la ciboulette.~Mélanger et servir aussitôt. Cette sauce contient des fruits acides au sens du tableau : ne pas l'ajouter automatiquement au riz ou à l'huile.
Sauce verte de brocoli, basilic et avocat|sauce|brocoli:250,basilic:12,avocat:120,eau:80|15,15,0|hob,blender|Cuire le brocoli à la vapeur 12 à 15 min.~Mixer avec l'eau tiède, le basilic et l'avocat pour une sauce épaisse.~Servir immédiatement sans porter la sauce à ébullition et sans citron ajouté.
Concassé de noix, carotte et persil|sauce|noix:40,carotte:180,persil:20,huile:12|15,0,0|blender|Râper très finement la carotte et hacher le persil.~Mixer les noix par impulsions, puis incorporer la carotte, le persil et l'huile sans réduire entièrement en purée.~Utiliser comme garniture fraîche et contrôler les associations avec le plat support.
Purée de fenouil aux pignons|sauce|fenouil:350,pignon:35,huile:10,eau:120|15,25,0|hob,blender|Émincer le fenouil et le cuire à couvert dans l'eau 20 à 25 min.~Mixer avec les pignons et l'huile, en conservant tout le liquide.~Servir comme sauce épaisse, chaude ou refroidie rapidement puis réfrigérée.
# Desserts fruités sans produits laitiers ni sucre ajouté
Pommes au four farcies aux abricots secs|dessert|pomme:350,abricot_sec:60,eau:80|20,35,0|oven|Retirer le cœur des pommes en les gardant entières. Hacher les abricots secs sans additifs.~Garnir les cavités, poser dans un plat avec l'eau et couvrir.~Cuire 30 à 35 min à 180 °C, jusqu'à ce que la chair soit tendre. Servir tiède avec le jus de cuisson.
Poires pochées dans un coulis de prune|dessert|poire:350,prune:250,eau:150|20,25,0|hob|Couper les prunes en morceaux et les cuire dans l'eau 8 min.~Ajouter les poires coupées en deux et épépinées. Faire frémir 12 à 17 min en les retournant délicatement.~Servir les demi-poires nappées de prunes écrasées, sans sucre ajouté.
Sorbet minute de banane et mangue au mixeur|dessert|banane:240,mangue:220|10,0,240|blender|Couper la banane et la mangue en petits morceaux et les congeler à plat pendant au moins 4 h.~Laisser les morceaux s'assouplir 5 à 10 min puis mixer par impulsions avec un appareil prévu pour les fruits congelés ; arrêter et racler entre les impulsions.~Servir dès que la texture est crémeuse, sans lait ni autre ajout.
Granité de pastèque au melon|dessert|pasteque:350,melon:250|15,0,240|blender|Retirer peau et graines, puis mixer les chairs de pastèque et melon.~Verser dans un plat peu profond et congeler environ 4 h.~Gratter à la fourchette toutes les 45 à 60 min pour former des cristaux, puis servir immédiatement.
Brochettes d'ananas et orange rôties|dessert|ananas:300,orange:200|20,20,0|oven|Couper l'ananas en cubes et peler l'orange à vif en conservant les quartiers.~Alterner les fruits sur des petites brochettes métalliques et les disposer dans un plat avec le jus recueilli.~Cuire 15 à 20 min à 190 °C, en retournant une fois. Servir tiède sans miel ajouté.
Compote de pomme, figue fraîche et raisin|dessert|pomme:250,figue:180,raisin:150,eau:60|20,20,0|hob|Retirer cœur, pédoncules et pépins éventuels. Couper les fruits en morceaux.~Les cuire à couvert dans l'eau 15 à 20 min à feu doux.~Écraser à la fourchette pour garder des morceaux et servir tiède ou refroidir rapidement avant réfrigération.
Carpaccio de pêche et fraise|dessert|peche:300,fraise:250|15,0,0||Dénoyauter les pêches et les couper en tranches fines.~Équeuter les fraises et en écraser un tiers pour obtenir un coulis non filtré.~Disposer les tranches de pêche et les fraises restantes, puis napper avec le coulis juste avant de servir.
Crème glacée minute d'avocat et banane|dessert|avocat:140,banane:260|10,0,240|blender|Couper la banane en rondelles et congeler à plat au moins 4 h.~Laisser les rondelles s'assouplir quelques minutes. Les mixer par impulsions avec la chair d'avocat dans un appareil adapté aux fruits congelés.~Servir immédiatement. L'association lipides et fruits doux est orange dans le tableau.
Abricots rôtis sur purée de pêche|dessert|abricot:300,peche:250|15,25,0|oven,blender|Couper les abricots en deux et les placer dans un petit plat couvert.~Cuire 20 à 25 min à 180 °C, jusqu'à ce qu'ils soient tendres.~Mixer la chair de pêche dénoyautée et la répartir sous les abricots tièdes. Consommer après assemblage.
Verrines de cerise, banane et figue séchée|dessert|cerise:250,banane:180,figue_seche:40|20,0,0|blender|Dénoyauter soigneusement les cerises et couper les figues sèches en très petits morceaux.~Mixer la banane avec la moitié des cerises, sans liquide supplémentaire.~Répartir en verrines et ajouter les cerises restantes et les dés de figue. Servir frais le jour même.
Petites pommes vapeur à la purée de mangue|dessert|pomme:350,mangue:220|20,20,0|hob,blender|Couper les pommes en quartiers et retirer les cœurs.~Les cuire à la vapeur 12 à 20 min selon leur fermeté, en gardant les quartiers entiers.~Mixer la mangue fraîche et la servir sous les pommes tièdes, sans ajouter d'huile ni de fruits à coque.
Bâtonnets glacés de fraise et framboise|dessert|fraise:300,framboise:200|15,0,360|blender|Équeuter les fraises et mixer les deux fruits sans filtrer.~Répartir dans des moules à bâtonnets glacés adaptés à la congélation.~Congeler au moins 6 h. Passer brièvement l'extérieur du moule sous l'eau pour démouler, sans faire fondre puis recongeler.
Salade de clémentine, grenade et ananas|dessert|clementine:220,grenade:100,ananas:220|20,0,0||Retirer peau, membranes épaisses et pépins des clémentines.~Couper l'ananas en petits dés et prélever les grains de grenade.~Mélanger avec le jus rendu par les fruits et servir sans assaisonnement supplémentaire.
Figues fraîches farcies à la banane écrasée|dessert|figue:300,banane:180|15,15,0|oven|Inciser les figues en croix sans séparer leur base.~Écraser la banane et répartir cette purée au centre des figues.~Cuire 12 à 15 min à 180 °C dans un plat couvert, juste pour attendrir les fruits. Servir tiède.
